Symbol,Band
JIWANRAM,20
J&KBANK,20
JKIL,20
JKLAKSHMI,20
JKPAPER,20
JKTYRE,20
JLHL,20
JMFINANCIL,20
JNKINDIA,20
JOCIL,20
JPOLYINVST,20
JSFB,20
JSL,20
JSWENERGY,20
JSWHL,20
JTEKTINDIA,20
JTLIND,20
JUBLINGREA,20
JUBLPHARMA,20
JUNIORBEES,20
JUSTDIAL,20
JWL,20
JYOTHYLAB,20
K2INFRA,20
KABRAEXTRU,20
KAJARIACER,20
KAKATCEM,20
KALAMANDIR,20
KALYANKJIL,20
KANDARP,20
KANORICHEM,20
KANPRPLA,20
